timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/19 14:47:50.610, 0 %, 0 %, 0 MiB, 15360 MiB, 29
2026/03/19 14:47:53.707, 0 %, 0 %, 11299 MiB, 15360 MiB, 30
2026/03/19 14:47:56.834, 0 %, 0 %, 11299 MiB, 15360 MiB, 30
2026/03/19 14:48:00.055, 0 %, 0 %, 11303 MiB, 15360 MiB, 30
2026/03/19 14:48:03.103, 0 %, 0 %, 11313 MiB, 15360 MiB, 31
2026/03/19 14:48:06.176, 0 %, 0 %, 11313 MiB, 15360 MiB, 31
2026/03/19 14:48:09.269, 0 %, 0 %, 11313 MiB, 15360 MiB, 31
2026/03/19 14:48:12.313, 0 %, 0 %, 11313 MiB, 15360 MiB, 31
2026/03/19 14:48:15.396, 21 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/19 14:48:18.488, 22 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/19 14:48:21.583, 13 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/19 14:48:24.682, 24 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/19 14:48:27.738, 23 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/19 14:48:30.790, 23 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/19 14:48:33.838, 21 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/19 14:48:36.880, 24 %, 1 %, 11313 MiB, 15360 MiB, 33
2026/03/19 14:48:39.922, 0 %, 0 %, 11313 MiB, 15360 MiB, 33
2026/03/19 14:48:42.981, 0 %, 0 %, 11313 MiB, 15360 MiB, 33
2026/03/19 14:48:46.020, 0 %, 0 %, 11313 MiB, 15360 MiB, 33
2026/03/19 14:48:49.064, 36 %, 1 %, 11313 MiB, 15360 MiB, 33
2026/03/19 14:48:52.117, 40 %, 2 %, 11313 MiB, 15360 MiB, 33
2026/03/19 14:48:55.194, 39 %, 2 %, 11313 MiB, 15360 MiB, 34
2026/03/19 14:48:58.238, 35 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 14:49:01.326, 36 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 14:49:04.389, 41 %, 2 %, 11313 MiB, 15360 MiB, 34
2026/03/19 14:49:07.472, 39 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 14:49:10.543, 40 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 14:49:13.590, 37 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 14:49:16.632, 38 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 14:49:19.713, 42 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 14:49:22.781, 39 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 14:49:25.843, 38 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 14:49:28.888, 39 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 14:49:31.933, 38 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 14:49:34.988, 38 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 14:49:38.037, 38 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 14:49:41.089, 35 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 14:49:44.158, 39 %, 1 %, 11313 MiB, 15360 MiB, 35
