timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/26 20:50:01.787, 0 %, 0 %, 0 MiB, 15360 MiB, 72
2026/03/26 20:50:05.329, 0 %, 0 %, 11299 MiB, 15360 MiB, 74
2026/03/26 20:50:08.505, 0 %, 0 %, 11299 MiB, 15360 MiB, 74
2026/03/26 20:50:11.603, 0 %, 0 %, 11299 MiB, 15360 MiB, 74
2026/03/26 20:50:14.774, 0 %, 0 %, 11303 MiB, 15360 MiB, 74
2026/03/26 20:50:18.002, 0 %, 0 %, 11313 MiB, 15360 MiB, 75
2026/03/26 20:50:21.298, 0 %, 0 %, 11313 MiB, 15360 MiB, 75
2026/03/26 20:50:24.604, 0 %, 0 %, 11313 MiB, 15360 MiB, 75
2026/03/26 20:50:27.768, 11 %, 2 %, 11313 MiB, 15360 MiB, 75
2026/03/26 20:50:30.950, 0 %, 0 %, 11313 MiB, 15360 MiB, 75
2026/03/26 20:50:34.160, 0 %, 0 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:50:37.318, 0 %, 0 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:50:40.473, 21 %, 1 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:50:43.612, 12 %, 0 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:50:46.922, 12 %, 0 %, 11313 MiB, 15360 MiB, 76
2026/03/26 20:50:50.070, 23 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:50:53.391, 12 %, 0 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:50:56.694, 8 %, 0 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:50:59.808, 20 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:51:03.140, 11 %, 0 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:51:06.300, 12 %, 0 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:51:09.385, 22 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:51:12.593, 13 %, 0 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:51:15.877, 9 %, 0 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:51:19.040, 0 %, 0 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:51:22.136, 0 %, 0 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:51:25.298, 0 %, 0 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:51:28.366, 32 %, 1 %, 11313 MiB, 15360 MiB, 78
2026/03/26 20:51:31.680, 16 %, 0 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:51:34.902, 24 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:51:38.241, 10 %, 0 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:51:41.931, 19 %, 0 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:51:45.106, 24 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:51:48.301, 34 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:51:51.449, 25 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:51:54.568, 23 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:51:57.705, 28 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:52:00.780, 33 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:52:03.917, 29 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:52:07.206, 24 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:52:10.278, 42 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:52:13.701, 21 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:52:17.006, 27 %, 1 %, 11313 MiB, 15360 MiB, 77
2026/03/26 20:52:20.276, 26 %, 1 %, 11313 MiB, 15360 MiB, 77
