timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/04/08 18:53:15.317, 0 %, 0 %, 0 MiB, 15360 MiB, 39
2026/04/08 18:53:18.418, 0 %, 0 %, 11299 MiB, 15360 MiB, 40
2026/04/08 18:53:21.571, 0 %, 0 %, 11299 MiB, 15360 MiB, 41
2026/04/08 18:53:24.674, 0 %, 0 %, 11299 MiB, 15360 MiB, 41
2026/04/08 18:53:27.737, 0 %, 0 %, 11299 MiB, 15360 MiB, 41
2026/04/08 18:53:31.154, 0 %, 0 %, 11313 MiB, 15360 MiB, 42
2026/04/08 18:53:34.334, 0 %, 0 %, 11313 MiB, 15360 MiB, 42
2026/04/08 18:53:37.443, 0 %, 0 %, 11313 MiB, 15360 MiB, 42
2026/04/08 18:53:40.508, 1 %, 0 %, 11313 MiB, 15360 MiB, 43
2026/04/08 18:53:43.597, 0 %, 0 %, 11313 MiB, 15360 MiB, 43
2026/04/08 18:53:46.702, 0 %, 0 %, 11313 MiB, 15360 MiB, 43
2026/04/08 18:53:49.765, 26 %, 1 %, 11313 MiB, 15360 MiB, 43
2026/04/08 18:53:52.839, 25 %, 1 %, 11313 MiB, 15360 MiB, 44
2026/04/08 18:53:55.893, 28 %, 1 %, 11313 MiB, 15360 MiB, 44
2026/04/08 18:53:58.950, 26 %, 1 %, 11313 MiB, 15360 MiB, 44
2026/04/08 18:54:02.007, 26 %, 1 %, 11313 MiB, 15360 MiB, 44
2026/04/08 18:54:05.059, 26 %, 1 %, 11313 MiB, 15360 MiB, 45
2026/04/08 18:54:08.107, 27 %, 1 %, 11313 MiB, 15360 MiB, 45
2026/04/08 18:54:11.158, 26 %, 1 %, 11313 MiB, 15360 MiB, 45
2026/04/08 18:54:14.212, 26 %, 1 %, 11313 MiB, 15360 MiB, 45
2026/04/08 18:54:17.284, 26 %, 1 %, 11313 MiB, 15360 MiB, 46
2026/04/08 18:54:20.364, 26 %, 1 %, 11313 MiB, 15360 MiB, 46
2026/04/08 18:54:23.433, 27 %, 1 %, 11313 MiB, 15360 MiB, 46
2026/04/08 18:54:26.494, 27 %, 1 %, 11313 MiB, 15360 MiB, 46
2026/04/08 18:54:29.544, 26 %, 1 %, 11313 MiB, 15360 MiB, 46
2026/04/08 18:54:32.592, 0 %, 0 %, 11313 MiB, 15360 MiB, 46
2026/04/08 18:54:35.698, 0 %, 0 %, 11313 MiB, 15360 MiB, 46
2026/04/08 18:54:38.861, 0 %, 0 %, 11313 MiB, 15360 MiB, 46
2026/04/08 18:54:42.133, 0 %, 0 %, 11313 MiB, 15360 MiB, 47
2026/04/08 18:54:45.269, 0 %, 0 %, 11313 MiB, 15360 MiB, 47
2026/04/08 18:54:48.331, 39 %, 1 %, 11313 MiB, 15360 MiB, 47
2026/04/08 18:54:51.576, 14 %, 0 %, 11313 MiB, 15360 MiB, 47
2026/04/08 18:54:54.661, 40 %, 1 %, 11313 MiB, 15360 MiB, 48
2026/04/08 18:54:57.724, 39 %, 1 %, 11313 MiB, 15360 MiB, 48
2026/04/08 18:55:01.333, 13 %, 0 %, 11313 MiB, 15360 MiB, 48
2026/04/08 18:55:04.506, 39 %, 1 %, 11313 MiB, 15360 MiB, 48
2026/04/08 18:55:07.728, 26 %, 1 %, 11313 MiB, 15360 MiB, 48
2026/04/08 18:55:10.890, 41 %, 1 %, 11313 MiB, 15360 MiB, 49
