timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/19 12:55:43.476, 0 %, 0 %, 0 MiB, 15360 MiB, 24
2026/03/19 12:55:46.550, 0 %, 0 %, 11299 MiB, 15360 MiB, 24
2026/03/19 12:55:49.601, 0 %, 0 %, 11299 MiB, 15360 MiB, 24
2026/03/19 12:55:52.838, 0 %, 0 %, 11313 MiB, 15360 MiB, 24
2026/03/19 12:55:55.913, 0 %, 0 %, 11313 MiB, 15360 MiB, 24
2026/03/19 12:55:58.954, 29 %, 1 %, 11313 MiB, 15360 MiB, 25
2026/03/19 12:56:02.046, 32 %, 1 %, 11313 MiB, 15360 MiB, 25
2026/03/19 12:56:05.115, 30 %, 1 %, 11313 MiB, 15360 MiB, 25
2026/03/19 12:56:08.156, 33 %, 1 %, 11313 MiB, 15360 MiB, 25
2026/03/19 12:56:11.218, 17 %, 1 %, 11313 MiB, 15360 MiB, 25
2026/03/19 12:56:14.268, 32 %, 1 %, 11313 MiB, 15360 MiB, 25
2026/03/19 12:56:17.309, 30 %, 1 %, 11313 MiB, 15360 MiB, 25
2026/03/19 12:56:20.375, 0 %, 0 %, 11313 MiB, 15360 MiB, 25
2026/03/19 12:56:23.475, 0 %, 0 %, 11313 MiB, 15360 MiB, 25
2026/03/19 12:56:26.535, 39 %, 2 %, 11313 MiB, 15360 MiB, 26
2026/03/19 12:56:29.574, 40 %, 3 %, 11313 MiB, 15360 MiB, 27
2026/03/19 12:56:32.618, 39 %, 3 %, 11313 MiB, 15360 MiB, 28
2026/03/19 12:56:35.667, 39 %, 2 %, 11313 MiB, 15360 MiB, 28
2026/03/19 12:56:38.736, 35 %, 2 %, 11313 MiB, 15360 MiB, 28
2026/03/19 12:56:41.774, 39 %, 3 %, 11313 MiB, 15360 MiB, 29
2026/03/19 12:56:44.811, 40 %, 3 %, 11313 MiB, 15360 MiB, 29
2026/03/19 12:56:47.881, 40 %, 3 %, 11313 MiB, 15360 MiB, 29
2026/03/19 12:56:50.953, 39 %, 3 %, 11313 MiB, 15360 MiB, 30
2026/03/19 12:56:53.993, 39 %, 3 %, 11313 MiB, 15360 MiB, 30
2026/03/19 12:56:57.056, 30 %, 2 %, 11313 MiB, 15360 MiB, 30
2026/03/19 12:57:00.096, 39 %, 2 %, 11313 MiB, 15360 MiB, 30
2026/03/19 12:57:03.130, 36 %, 2 %, 11313 MiB, 15360 MiB, 30
2026/03/19 12:57:06.166, 40 %, 2 %, 11313 MiB, 15360 MiB, 30
2026/03/19 12:57:09.202, 41 %, 2 %, 11313 MiB, 15360 MiB, 30
2026/03/19 12:57:12.236, 39 %, 2 %, 11313 MiB, 15360 MiB, 31
2026/03/19 12:57:15.313, 32 %, 2 %, 11313 MiB, 15360 MiB, 30
2026/03/19 12:57:18.353, 38 %, 2 %, 11313 MiB, 15360 MiB, 31
2026/03/19 12:57:21.386, 40 %, 2 %, 11313 MiB, 15360 MiB, 31
2026/03/19 12:57:24.433, 39 %, 2 %, 11313 MiB, 15360 MiB, 31
2026/03/19 12:57:27.487, 40 %, 2 %, 11313 MiB, 15360 MiB, 31
2026/03/19 12:57:30.539, 39 %, 2 %, 11313 MiB, 15360 MiB, 31
2026/03/19 12:57:33.621, 33 %, 2 %, 11313 MiB, 15360 MiB, 31
