timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/19 12:33:10.404, 0 %, 0 %, 0 MiB, 15360 MiB, 31
2026/03/19 12:33:13.576, 1 %, 0 %, 113 MiB, 15360 MiB, 32
2026/03/19 12:33:16.806, 0 %, 0 %, 11299 MiB, 15360 MiB, 32
2026/03/19 12:33:19.888, 0 %, 0 %, 11299 MiB, 15360 MiB, 33
2026/03/19 12:33:23.088, 0 %, 0 %, 11313 MiB, 15360 MiB, 33
2026/03/19 12:33:26.257, 0 %, 0 %, 11313 MiB, 15360 MiB, 33
2026/03/19 12:33:29.346, 0 %, 0 %, 11313 MiB, 15360 MiB, 33
2026/03/19 12:33:32.428, 12 %, 0 %, 11313 MiB, 15360 MiB, 33
2026/03/19 12:33:35.493, 22 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 12:33:38.667, 13 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 12:33:41.825, 11 %, 0 %, 11313 MiB, 15360 MiB, 34
2026/03/19 12:33:44.981, 14 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 12:33:48.064, 22 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 12:33:51.125, 13 %, 0 %, 11313 MiB, 15360 MiB, 34
2026/03/19 12:33:54.213, 14 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 12:33:57.292, 15 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 12:34:00.342, 21 %, 1 %, 11313 MiB, 15360 MiB, 34
2026/03/19 12:34:03.462, 8 %, 0 %, 11313 MiB, 15360 MiB, 34
2026/03/19 12:34:06.591, 0 %, 0 %, 11313 MiB, 15360 MiB, 34
2026/03/19 12:34:09.745, 0 %, 0 %, 11313 MiB, 15360 MiB, 34
2026/03/19 12:34:12.872, 31 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 12:34:16.000, 39 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 12:34:19.077, 40 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 12:34:22.118, 30 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 12:34:25.176, 27 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 12:34:28.304, 40 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 12:34:31.424, 23 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 12:34:34.556, 28 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 12:34:37.688, 31 %, 1 %, 11313 MiB, 15360 MiB, 35
2026/03/19 12:34:40.865, 34 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:34:43.958, 29 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:34:47.160, 17 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:34:50.212, 32 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:34:53.275, 31 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:34:56.335, 32 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:34:59.436, 34 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:35:02.547, 29 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:35:05.639, 39 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:35:08.761, 26 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:35:11.931, 29 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:35:15.042, 30 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:35:18.137, 32 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:35:21.193, 39 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:35:24.302, 27 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:35:27.381, 33 %, 1 %, 11313 MiB, 15360 MiB, 36
2026/03/19 12:35:30.430, 35 %, 1 %, 11313 MiB, 15360 MiB, 36
