timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/05 03:33:30.659, 0 %, 0 %, 0 MiB, 15360 MiB, 25
2026/03/05 03:33:33.805, 0 %, 0 %, 11299 MiB, 15360 MiB, 26
2026/03/05 03:33:36.991, 0 %, 0 %, 11299 MiB, 15360 MiB, 26
2026/03/05 03:33:40.199, 0 %, 0 %, 11299 MiB, 15360 MiB, 27
2026/03/05 03:33:43.356, 0 %, 0 %, 11299 MiB, 15360 MiB, 27
2026/03/05 03:33:46.515, 0 %, 0 %, 11313 MiB, 15360 MiB, 27
2026/03/05 03:33:49.709, 0 %, 0 %, 11313 MiB, 15360 MiB, 28
2026/03/05 03:33:52.901, 0 %, 0 %, 11313 MiB, 15360 MiB, 28
2026/03/05 03:33:56.002, 0 %, 0 %, 11313 MiB, 15360 MiB, 28
2026/03/05 03:33:59.133, 10 %, 0 %, 11313 MiB, 15360 MiB, 28
2026/03/05 03:34:02.279, 9 %, 0 %, 11313 MiB, 15360 MiB, 28
2026/03/05 03:34:05.534, 9 %, 0 %, 11313 MiB, 15360 MiB, 29
2026/03/05 03:34:08.615, 9 %, 0 %, 11313 MiB, 15360 MiB, 29
2026/03/05 03:34:11.742, 24 %, 1 %, 11313 MiB, 15360 MiB, 29
2026/03/05 03:34:14.848, 11 %, 0 %, 11313 MiB, 15360 MiB, 29
2026/03/05 03:34:17.908, 15 %, 1 %, 11313 MiB, 15360 MiB, 29
2026/03/05 03:34:21.047, 11 %, 0 %, 11313 MiB, 15360 MiB, 29
2026/03/05 03:34:24.106, 22 %, 1 %, 11313 MiB, 15360 MiB, 29
2026/03/05 03:34:27.233, 13 %, 1 %, 11313 MiB, 15360 MiB, 30
2026/03/05 03:34:30.332, 0 %, 0 %, 11313 MiB, 15360 MiB, 29
2026/03/05 03:34:33.425, 40 %, 3 %, 11313 MiB, 15360 MiB, 31
2026/03/05 03:34:36.462, 41 %, 3 %, 11313 MiB, 15360 MiB, 32
2026/03/05 03:34:39.497, 41 %, 3 %, 11313 MiB, 15360 MiB, 33
2026/03/05 03:34:42.533, 37 %, 2 %, 11313 MiB, 15360 MiB, 33
2026/03/05 03:34:45.572, 39 %, 2 %, 11313 MiB, 15360 MiB, 34
2026/03/05 03:34:48.608, 39 %, 2 %, 11313 MiB, 15360 MiB, 35
2026/03/05 03:34:51.648, 40 %, 3 %, 11313 MiB, 15360 MiB, 35
2026/03/05 03:34:54.710, 34 %, 2 %, 11313 MiB, 15360 MiB, 35
