timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/03/05 13:14:41.087, 0 %, 0 %, 0 MiB, 15360 MiB, 28
2026/03/05 13:14:44.466, 0 %, 0 %, 13 MiB, 15360 MiB, 29
2026/03/05 13:14:47.612, 0 %, 0 %, 11299 MiB, 15360 MiB, 29
2026/03/05 13:14:50.707, 0 %, 0 %, 11299 MiB, 15360 MiB, 29
2026/03/05 13:14:53.769, 0 %, 0 %, 11313 MiB, 15360 MiB, 29
2026/03/05 13:14:56.862, 0 %, 0 %, 11313 MiB, 15360 MiB, 30
2026/03/05 13:14:59.978, 0 %, 0 %, 11313 MiB, 15360 MiB, 30
2026/03/05 13:15:03.070, 19 %, 1 %, 11313 MiB, 15360 MiB, 30
2026/03/05 13:15:06.241, 10 %, 0 %, 11313 MiB, 15360 MiB, 30
2026/03/05 13:15:09.308, 19 %, 1 %, 11313 MiB, 15360 MiB, 30
2026/03/05 13:15:12.408, 17 %, 1 %, 11313 MiB, 15360 MiB, 30
2026/03/05 13:15:15.495, 22 %, 1 %, 11313 MiB, 15360 MiB, 30
2026/03/05 13:15:18.645, 18 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:15:21.760, 23 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:15:24.819, 21 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:15:27.950, 20 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:15:31.066, 22 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:15:34.158, 16 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:15:37.287, 22 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:15:40.406, 18 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:15:43.491, 19 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:15:46.590, 20 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:15:49.710, 17 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:15:52.765, 15 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:15:55.886, 16 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:15:58.968, 21 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:16:02.090, 19 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:16:05.242, 16 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:16:08.327, 15 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:16:11.474, 17 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:16:14.611, 16 %, 1 %, 11313 MiB, 15360 MiB, 31
2026/03/05 13:16:17.840, 20 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:16:20.927, 30 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:16:24.042, 19 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:16:27.168, 21 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:16:30.227, 25 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:16:33.342, 20 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:16:36.479, 13 %, 0 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:16:39.547, 12 %, 0 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:16:42.610, 26 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:16:45.676, 16 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:16:48.982, 13 %, 0 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:16:52.353, 13 %, 0 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:16:55.503, 17 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:16:58.638, 17 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:01.715, 12 %, 0 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:04.778, 15 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:07.924, 15 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:11.127, 12 %, 0 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:14.211, 16 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:17.319, 17 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:20.418, 24 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:23.550, 13 %, 0 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:26.627, 21 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:29.706, 17 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:32.772, 25 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:36.057, 13 %, 0 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:39.140, 20 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:42.211, 22 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:45.294, 23 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:48.357, 24 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:51.419, 21 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:54.481, 25 %, 1 %, 11313 MiB, 15360 MiB, 32
2026/03/05 13:17:57.765, 20 %, 1 %, 11313 MiB, 15360 MiB, 32
